data,tipo,categoria,descricao,valor
2025-01-31 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
2025-02-03 17:00:00,gasto,Infraestrutura,Contas de início de ano,1100.00
2025-02-09 10:00:00,ganho,Venda de Produtos,Venda de produtos,9500.00
2025-02-13 11:00:00,gasto,Despesas Operacionais,Renovação de licenças,1200.00
2025-02-19 14:00:00,ganho,Prestação de Serviço,Serviço de manutenção,3500.00
2025-02-28 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
2025-03-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2600.00
2025-03-10 10:00:00,gasto,Fornecedores,Pagamento fornecedor C,2300.00
2025-03-15 11:00:00,ganho,Venda de Produtos,Venda de produtos,13500.00
2025-03-20 14:00:00,ganho,Prestação de Serviço,Prestação de serviço A,7800.00
2025-03-25 10:00:00,gasto,Fornecedores,Compra de insumos,4800.00
2025-03-31 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
